game,name,score,place,timeout
333,g9,120,3rd,no
334,g3,101,4th,no
334,g6,122,3rd,no
334,g7,133,2nd,no
334,g9,143,1st,no
335,g4,89,4th,no
335,g6,122,3rd,no
335,g7,148,1st,no
335,g9,140,2nd,no
336,g1,119,2nd,no
336,g2,113,3rd,no
336,g8,57,4th,no
336,g9,210,1st,no
339,g1,139,2nd,no
339,g4,130,3rd,no
339,g8,50,4th,no
339,g9,180,1st,no
340,g2,104,3rd,no
340,g4,171,1st,no
340,g8,55,4th,no
340,g9,169,2nd,no
341,g3,138,1st,no
341,g4,95,4th,no
341,g8,132,3rd,no
341,g9,134,2nd,no
342,g1,135,2nd,no
342,g6,109,3rd,no
342,g8,65,4th,no
342,g9,191,1st,no
343,g2,135,2nd,no
343,g6,130,3rd,no
343,g8,66,4th,no
343,g9,168,1st,no
344,g3,123,3rd,no
344,g6,124,2nd,no
344,g8,58,4th,no
344,g9,195,1st,no
345,g4,109,3rd,no
345,g6,144,2nd,no
345,g8,92,4th,no
345,g9,155,1st,no
346,g1,125,2nd,no
346,g7,158,1st,no
346,g8,96,4th,no
346,g9,121,3rd,no
347,g2,145,2nd,no
347,g7,124,3rd,no
347,g8,61,4th,no
347,g9,170,1st,no
348,g3,139,3rd,no
348,g7,147,2nd,no
348,g8,53,4th,no
348,g9,161,1st,no
349,g4,125,2nd,no
349,g7,121,4th,no
349,g8,125,2nd,no
349,g9,128,1st,no
350,g6,150,2nd,no
350,g7,118,3rd,no
350,g8,73,4th,no
350,g9,159,1st,no
353,g1,166,2nd,no
353,g2,249,1st,no
353,g4,49,3rd,no
353,g6,36,4th,no
357,g1,108,3rd,no
357,g2,180,1st,no
357,g4,44,4th,no
357,g7,167,2nd,no
360,g1,119,3rd,no
360,g2,162,2nd,no
360,g6,30,4th,no
360,g7,188,1st,no
363,g1,184,2nd,no
363,g4,46,4th,no
363,g6,47,3rd,no
363,g7,223,1st,no
364,g2,235,1st,no
364,g4,45,3rd,no
364,g6,31,4th,no
364,g7,188,2nd,no
365,g3,240,1st,no
365,g4,34,4th,no
365,g6,38,3rd,no
365,g7,188,2nd,no
367,g1,90,3rd,no
367,g2,188,1st,no
367,g4,45,4th,no
367,g8,176,2nd,no
370,g1,100,3rd,no
370,g2,191,1st,no
370,g6,42,4th,no
370,g8,165,2nd,no
373,g1,170,2nd,no
373,g4,20,4th,no
373,g6,53,3rd,no
373,g8,255,1st,no
374,g2,219,1st,no
374,g4,30,4th,no
374,g6,34,3rd,no
374,g8,217,2nd,no
375,g3,245,1st,no
375,g4,37,4th,no
375,g6,42,3rd,no
375,g8,174,2nd,no
376,g1,86,4th,no
376,g2,146,2nd,no
376,g7,108,3rd,no
376,g8,159,1st,no
379,g1,134,3rd,no
379,g4,29,4th,no
379,g7,156,2nd,no
379,g8,181,1st,no
380,g2,139,3rd,no
380,g4,30,4th,no
380,g7,171,1st,no
380,g8,159,2nd,no
381,g3,207,1st,no
381,g4,28,4th,no
381,g7,143,2nd,no
381,g8,122,3rd,no
382,g1,146,3rd,no
382,g6,35,4th,no
382,g7,163,1st,no
382,g8,154,2nd,no
383,g2,160,2nd,no
383,g6,34,4th,no
383,g7,143,3rd,no
383,g8,163,1st,no
384,g3,157,2nd,no
384,g6,38,4th,no
384,g7,146,3rd,no
384,g8,158,1st,no
385,g4,39,4th,no
385,g6,47,3rd,no
385,g7,290,1st,no
385,g8,124,2nd,no
387,g1,134,3rd,no
387,g2,145,2nd,no
387,g4,36,4th,no
387,g9,184,1st,no
390,g1,108,3rd,no
390,g2,169,2nd,no
390,g6,44,4th,no
390,g9,179,1st,no
393,g1,154,2nd,no
393,g4,38,3rd,no
393,g6,38,3rd,no
393,g9,268,1st,no
394,g2,224,1st,no
394,g4,42,3rd,no
394,g6,38,4th,no
394,g9,195,2nd,no
395,g3,204,2nd,no
395,g4,27,4th,no
395,g6,38,3rd,no
395,g9,231,1st,no
396,g1,85,4th,no
396,g2,148,1st,no
396,g7,121,3rd,no
396,g9,145,2nd,no
399,g1,135,3rd,no
399,g4,31,4th,no
399,g7,142,2nd,no
399,g9,190,1st,no
400,g2,134,3rd,no
400,g4,56,4th,no
400,g7,166,1st,no
400,g9,143,2nd,no
401,g3,171,1st,no
401,g4,39,4th,no
401,g7,153,2nd,no
401,g9,136,3rd,no
402,g1,120,3rd,no
402,g6,43,4th,no
402,g7,146,2nd,no
402,g9,189,1st,no
403,g2,160,1st,no
403,g6,46,4th,no
403,g7,135,3rd,no
403,g9,158,2nd,no
404,g3,154,2nd,no
404,g6,34,4th,no
404,g7,143,3rd,no
404,g9,168,1st,no
405,g4,31,4th,no
405,g6,44,3rd,no
405,g7,198,2nd,no
405,g9,226,1st,no
406,g1,83,4th,no
406,g2,132,2nd,no
406,g8,88,3rd,no
406,g9,196,1st,no
409,g1,120,2nd,no
409,g4,28,4th,no
409,g8,113,3rd,no
409,g9,239,1st,no
410,g2,173,2nd,no
410,g4,36,4th,no
410,g8,74,3rd,no
410,g9,217,1st,no
411,g3,172,2nd,no
411,g4,59,4th,no
411,g8,61,3rd,no
411,g9,208,1st,no
412,g1,125,2nd,no
412,g6,39,4th,no
412,g8,79,3rd,no
412,g9,256,1st,no
413,g2,150,2nd,no
413,g6,39,4th,no
413,g8,92,3rd,no
413,g9,218,1st,no
414,g3,184,2nd,no
414,g6,24,4th,no
414,g8,98,3rd,no
414,g9,193,1st,no
415,g4,48,3rd,no
415,g6,33,4th,no
415,g8,151,2nd,no
415,g9,262,1st,no
416,g1,117,3rd,no
416,g7,154,2nd,no
416,g8,56,4th,no
416,g9,172,1st,no
417,g2,120,3rd,no
417,g7,121,2nd,no
417,g8,86,4th,no
417,g9,172,1st,no
418,g3,147,2nd,no
418,g7,126,3rd,no
418,g8,48,4th,no
418,g9,178,1st,no
419,g4,28,4th,no
419,g7,165,2nd,no
419,g8,105,3rd,no
419,g9,201,1st,no
420,g6,31,4th,no
420,g7,164,2nd,no
420,g8,94,3rd,no
420,g9,210,1st,no
1263,g1,5,2nd,no
1263,g2,3,4th,no
1263,g4,4,3rd,no
1263,g6,8,1st,no
1267,g1,4,3rd,no
1267,g2,3,4th,no
1267,g4,5,2nd,no
1267,g7,7,1st,no
1270,g1,2,4th,no
1270,g2,5,3rd,no
1270,g6,6,1st,no
1270,g7,6,1st,no
1273,g1,5,3rd,no
1273,g4,1,4th,no
1273,g6,7,1st,no
1273,g7,6,2nd,no
1274,g2,7,1st,no
1274,g4,4,3rd,no
1274,g6,6,2nd,no
1274,g7,3,4th,no
1275,g3,5,1st,no
1275,g4,5,1st,no
1275,g6,5,1st,no
1275,g7,5,1st,no
1277,g1,2,4th,no
1277,g2,6,2nd,no
1277,g4,8,1st,no
1277,g8,4,3rd,no
1280,g1,4,3rd,no
1280,g2,6,1st,no
1280,g6,5,2nd,no
